Nombre,Layer filtro
SHA-E01,0.0
SHA-E02,0.0
SHA-E03,9.0
SHA-E04,9.0
SHA-E05,0.0
SHA-E06,0.0
SHA-E07,9.0
SHA-E08,9.0
SHA-E09,9.0
SHA-E10,9.0
SHA-E11,0.0
SHA-E12,0.0
SHA-E13,1.0
SHA-E14,1.0
SHA-E15,1.0
SHA-E16,0.0
SHA-E17,5.0
SHA-E18,9.0
SHA-E19,8.0
SHA-E20,0.0
SHA-E21,0.0
SHA-E22,9.0
SHA-E23,9.0
SHA-E24,8.0
SHA-E26x,0.0
SHA-E27,1.0
SHA-E30,0.0
SHA-E34,9.0
SHA-P01,0.0
SHA-P02,0.0
SHA-P03,0.0
SHA-P04,9.0
SHA-P05,9.0
SHA-P06,9.0
SHA-P07,9.0
SHA-P08A,0.0
SHA-P09,5.0
SHA-P10,0.0
SHA-P11,1.0
SHA-P12,8.0
SHA-P13,9.0
SHA-P14,1.0
