p10 - 4.5	p25 - 4.5	p50 - 4.5	p75 - 4.5	p90 - 4.5	p100 - 4.5	p10 - 8.5	p25 - 8.5	p50 - 8.5	p75 - 8.5	p90 - 8.5	p100 - 8.5
7.7966	0.21174	0.21719	0.1066	0	0	0	0	0	0	0	0
0	0	0	0	0	3.4188	0	0	0	0	0	0
0	0	0	0.1066	0	0	0	0	0	0	6.5771	0
1.1995	16.198	16.615	0	0	15.271	0	0	0	1.0487	10.962	7.3299
2.9987	7.8342	8.0359	0	0	2.849	0	0	0	2.6216	0	4.4794
0.59974	1.588	1.6289	0	0	0	0	0.61048	0	0	0	0.81443
0	0.3176	0.32578	0	0	0	0	0	0	0	0	10.18
1.7992	9.4222	9.6648	0	0	0	0	0	0	0	0	2.4433
0	0	0	0	0	19.829	0	0.61048	2.6467	0	0	3.9093
0	0.10587	0.10859	0	0	1.7094	0	0	3.7054	0	0	9.7732
0	0	0	0	0	0	0	0.30524	0.10587	0	5.7002	1.6289
0	0.10587	0.10859	0	0	0	0	0	1.3763	0	0	6.1082
0	4.6582	4.7781	0.31981	0	0	0	0	11.434	0	0	2.0361
0	0.42347	0.43437	2.2387	0	0	0	0	6.8814	0	12.277	4.0721
0	4.4464	4.5609	0	0	0	0	0	6.0345	0	0	0
0	2.9643	3.0406	0	0	0	0	0	0.84694	0	0.54809	0
0	0	0	0	0	1.5955	0	0	0.74107	0	0.43848	0.81443
0	0	0	0	0	1.7094	0	0	2.5408	5.6628	1.6443	0
0	0	0	0	0	1.1396	0	0	13.975	0	2.7405	0.81443
0	0	0	0	0	0	0	0	0.95281	0	8.9888	0.81443
0	0	0	0.53302	0	5.698	0	0	0	2.307	2.1924	0.97732
0	0	0	0.31981	0	2.2792	0	0	0	0	0.54809	5.2938
0	2.6467	2.7148	2.5585	0	0	0	0	0	0	5.4809	7.3299
0	0.10587	0.10859	6.8227	0	0.5698	0	0	0	6.7114	6.029	0
0	0	0	12.686	0	4.3305	0	0	0	2.6216	16.443	0
0	0	0	0	4.0932	0.5698	0	0	0	0	1.6443	0
0	0	0	5.7566	0.51165	2.849	0.49307	0	0	3.146	1.0962	0
14.394	0	0	3.3047	11.768	0	0	0	0	0.83893	0	3.2577
0	0.21174	0.21719	0	15.861	0	0	0	0	0	1.0962	0
2.9987	0	0	1.8123	2.0466	0	8.3821	0	0	14.891	2.1924	0
2.3989	0	0	5.7566	2.0466	0	0	0	0	0	0	0
0.1214	0	6.7826	0	0	0	3.3068	0	0	2.5586	0	0
0	3.7191	0	0	0	0	4.409	0	2.5815	0	0	0
0.1214	0	0	35.895	1.0118	0	13.227	0	13.829	0	0	0
0	16.612	0	9.2728	5.5648	0	0	0	0	1.0235	0	1.011
0	3.0993	0	5.8329	0	0	0	0	9.4962	0	0	2.5275
0	0	0	3.2904	0	0	0	0	15.397	0	0	0
0	0	0	1.4956	4.2495	0	0	0	0	3.5821	0	0
