Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.000121478958718396	0.000136125483365873	0.000162187399891396	0.000129626102894523	0.000148503632357704	0.000225040087875246	0.000207263346006024	8.6545569386807e-05	0.000118959966876598	6.5816875238408e-05	5.11221001175723e-05	5.301342825402e-05	4.00495122362583e-05	4.88512400361971e-05	3.85316505906836e-05	7.40967774673505e-05	2.35908425971071e-05	8.63856140398041e-05	6.55569395995179e-05	5.21359848154058e-05	4.47660319802999e-06
9.39234715630551e-05	5.33376880080984e-05	-0.000116451930526106	0.000149826004608407	3.84929485064707e-05	4.11553484488819e-05	7.95513572845646e-05	3.7312082553017e-05	6.96746950041153e-05	3.03744107564145e-05	5.71630840580772e-05	6.94105514854821e-05	6.73691367428237e-05	6.90113889657763e-05	6.61819796488636e-05	5.5885466304602e-05	2.32267503382434e-05	5.30933907574356e-05	6.27635556544517e-05	6.93281163941191e-05	4.03655526438101e-06
7.96669568932707e-05	4.44382908288593e-05	0.000479578034179261	0.000126373299522773	3.42794753427021e-05	3.55420455340132e-05	9.96973128237422e-05	3.73013001947393e-05	7.07696885044106e-05	2.04362652592729e-05	5.39322856919989e-05	7.01798250188095e-05	6.68887605332826e-05	6.9442465600031e-05	6.55736258191756e-05	5.2806857559141e-05	2.28298404381871e-05	4.71533763255979e-05	6.39272421872984e-05	7.00266008375881e-05	3.16365439938152e-07
8.25367966205274e-05	4.92326749437917e-05	0.000465483521236962	0.00011767400878766	4.55790295979437e-05	5.40130147716017e-05	0.000109703608027079	3.87986265715678e-05	7.46151418123517e-05	2.38829189510232e-05	5.61233636032054e-05	7.31893821012646e-05	6.826374696728e-05	7.20100374687776e-05	6.68234127108595e-05	5.42945892416474e-05	2.38164811356058e-05	4.68064011542643e-05	6.74175172960502e-05	7.29731580450405e-05	5.38539494480142e-07
7.81436943347818e-05	4.94829922755978e-05	0.00042281224455393	0.000117734462981497	4.85869303829289e-05	6.01815723757754e-05	0.000126943131069222	4.06095858321012e-05	7.11372647712907e-05	2.11289556338017e-05	5.68118979726314e-05	7.4745366315285e-05	6.89591292176159e-05	7.33204788027232e-05	6.74403214176331e-05	4.98304076536025e-05	2.41858608673215e-05	4.64265063566291e-05	6.89945134110884e-05	7.44919032269828e-05	2.76294728733243e-07
9.095108743527e-05	5.70906540855579e-05	0.000483757345375694	0.000137290212685687	5.16840600750938e-05	6.19660382872156e-05	0.000134060047317081	4.33079394741341e-05	8.21327797928774e-05	2.29213796473858e-05	5.48564453209529e-05	7.22216368868928e-05	6.66339443425037e-05	7.08456963824835e-05	6.51646634135169e-05	5.81841046787552e-05	2.33611804633816e-05	5.16972338554132e-05	6.73486202701096e-05	7.19768821001713e-05	2.69577477802651e-07
8.37533750944643e-05	5.34787079861823e-05	0.000440234960188308	0.000134027626000098	4.92572554961733e-05	5.8216237056228e-05	0.000125435952809779	4.20026830385989e-05	7.54807437685868e-05	2.13180268812891e-05	5.30802472715654e-05	6.99296060053532e-05	6.4522089974702e-05	6.85980822209686e-05	6.30976435858872e-05	5.31106407621174e-05	2.2611618978278e-05	4.99519013798979e-05	6.49963620641662e-05	6.96927533956087e-05	2.63570963015015e-07
7.81254082979164e-05	4.81576366167395e-05	0.000400888838733094	0.000117594227211311	4.47459087646306e-05	5.54046168282612e-05	0.000119163496674859	3.83839332796982e-05	6.93982079638208e-05	2.02004866027747e-05	5.12568235857624e-05	6.75712240637813e-05	6.23486070120478e-05	6.6285273122948e-05	6.09704109497645e-05	4.84816397438729e-05	2.18409564736608e-05	4.42727587354769e-05	6.26207719705014e-05	6.73424790382476e-05	2.5716305578281e-07
8.17549305627496e-05	5.28636838900462e-05	0.000386142341443768	0.000125141123211209	4.48314752247645e-05	5.75934598593442e-05	0.000122997216302627	3.90239095945683e-05	6.74432835751591e-05	2.16218664856004e-05	4.95215400075337e-05	6.53257571250644e-05	6.0278973141922e-05	6.40831412089469e-05	5.89447860014618e-05	4.6991822800455e-05	2.11071233030115e-05	4.58670196665259e-05	6.05582404132232e-05	6.51047214130662e-05	2.51074867122084e-07
7.523868851444e-05	4.49974134620525e-05	0.000382183863728041	0.000112385735902764	4.18841437885822e-05	5.15911980934021e-05	0.000110274008876897	3.61672349697267e-05	6.73087874921996e-05	1.88087939772985e-05	4.79227875246415e-05	6.32560287625533e-05	5.83711249220718e-05	6.20533061362604e-05	5.70774871685151e-05	4.68862356641174e-05	2.04307015197447e-05	4.14390954975166e-05	5.87410749355348e-05	6.30420899386988e-05	2.45480619573368e-07
8.0549629805081e-05	5.06299614441453e-05	0.000378908883501854	0.000125411508363891	4.31703550683298e-05	5.4197167247511e-05	0.000114917957814408	3.77515162072593e-05	6.72815479058622e-05	2.04113789296823e-05	4.62808428579036e-05	6.11257865650938e-05	5.64071261816154e-05	5.99640263950345e-05	5.51553833121415e-05	4.68754175571649e-05	1.973525940679e-05	4.46491860302913e-05	5.68741717249981e-05	6.091913463428e-05	2.39512528888415e-07
7.9984877137055e-05	5.0239942159956e-05	0.00036425135579713	0.000122333752504825	4.16083938412531e-05	5.34580584378852e-05	0.000112853848367975	3.65840459642976e-05	6.5253498912881e-05	2.02887397215041e-05	4.47892601570824e-05	5.91908566546737e-05	5.46230833569956e-05	5.80662734785347e-05	5.34093447751601e-05	4.53384307222594e-05	1.91033996751856e-05	4.31038513712843e-05	5.50771999851443e-05	5.89908181087968e-05	2.34175907862576e-07
7.5782136977503e-05	4.74553682120303e-05	0.000341189476846924	0.000116192926791634	3.93781599922523e-05	5.08038241049158e-05	0.0001069187106205	3.49040443223283e-05	6.16955998726079e-05	1.91921117335942e-05	4.32570007927151e-05	5.71990364288907e-05	5.2786284303102e-05	5.61126437831486e-05	5.16118265442581e-05	4.26513090960617e-05	1.84537015083596e-05	4.07056884948527e-05	5.31561197291653e-05	5.70057914131298e-05	2.28482659388277e-07
7.06428589087642e-05	4.56555690086812e-05	0.000310530683767005	0.000114307763928945	4.32966789911864e-05	5.50633201407419e-05	0.00010159540281418	3.42074229122016e-05	5.69762416586277e-05	1.82820648799579e-05	4.18095124073592e-05	5.53258351454026e-05	5.10369202323507e-05	5.42641959151589e-05	4.98998784266951e-05	3.90300016159999e-05	1.78486754919835e-05	3.98296730124043e-05	5.13715260819891e-05	5.51341514181871e-05	2.23073471933159e-07
8.56656275588256e-05	6.34115263195858e-05	0.000345941329140474	0.000130389606823253	5.94817045950972e-05	7.86234261663404e-05	0.00012677860439073	4.45691137333638e-05	7.12623945574104e-05	2.48124075834959e-05	4.61342361759208e-05	5.99595648658152e-05	5.47173469602848e-05	5.85759604242936e-05	5.34560721158377e-05	4.70852392389178e-05	1.9465148781199e-05	4.92632419638307e-05	5.78348063050699e-05	5.96891406924374e-05	7.43493989786463e-07
8.68246525152098e-05	6.6772993982757e-05	0.000364868996290068	0.000126495930433423	6.05959974133425e-05	7.83882229349133e-05	0.000160011514622751	4.912427453774e-05	8.16660393709331e-05	2.34305255894622e-05	4.87486887004065e-05	6.59777241016956e-05	5.64836710783854e-05	6.31182455869007e-05	5.49350591531277e-05	5.24929966600584e-05	2.12827997078592e-05	5.16873813794634e-05	6.55445941976237e-05	6.53964234222045e-05	2.58150971611409e-07
8.92901747170658e-05	6.85357153576164e-05	0.000362437925447552	0.000132762603561636	6.06776426161528e-05	7.83036523494759e-05	0.000173488248912021	5.03385087294411e-05	8.23668310112181e-05	2.40911506309001e-05	4.75798066488933e-05	6.458096078029e-05	5.50174976032368e-05	6.16758440291176e-05	5.34892249722595e-05	5.29484580765316e-05	2.08116769816975e-05	5.38459424613091e-05	6.44070334959413e-05	6.39894544059479e-05	1.95666642538458e-07
8.28140490751386e-05	6.22064380871288e-05	0.000340353133483901	0.000121358315162341	5.64928758941271e-05	7.29626141326977e-05	0.000161389425341134	4.70958736543931e-05	7.78945316614445e-05	2.20468787018329e-05	4.59583547589186e-05	6.2403113458869e-05	5.31653355964887e-05	5.95971238955776e-05	5.1687392906309e-05	4.97698388137511e-05	2.01042703937969e-05	4.91033268851466e-05	6.21942757083854e-05	6.18318060803216e-05	1.90909635895192e-07
2.31610058249116e-05	1.81923711785915e-05	9.47578251346856e-05	3.3372728411398e-05	1.77463910904259e-05	2.46342667883991e-05	5.95700895073942e-05	1.41895580852797e-05	2.00706848469156e-05	6.9533307101779e-06	1.60073702683346e-05	1.77543649996501e-05	2.18031858495845e-05	2.0702482054558e-05	2.1196747500371e-05	1.28321700742958e-05	5.79660996945367e-06	1.3859133433411e-05	1.71659974313315e-05	2.14785469082636e-05	9.68969119671666e-08
1.31177044084154e-05	3.52728812483019e-07	7.30463326580879e-05	4.62108986571083e-10	1.29546258474933e-05	1.79353413957641e-05	5.2781910379298e-05	9.28406727583272e-06	1.44548141687799e-05	1.60998640001356e-06	2.0862354997037e-05	2.45417608345787e-05	3.03223751715085e-05	3.05136882356335e-05	2.94786025795553e-05	1.30075244792055e-05	8.01027771405831e-06	3.03104636555599e-06	2.2365621412063e-05	2.61150705547518e-05	1.15595064804458e-07
3.33592139382704e-05	1.91398764621346e-05	0.000168323422677838	3.671912560374e-05	3.05580786561691e-05	3.57144581467184e-05	8.83469071906702e-05	2.29688615895661e-05	4.20747748151839e-05	8.85336733279128e-06	3.39704687208457e-05	4.2629676818756e-05	4.20749006583532e-05	4.39109530953503e-05	4.09071518774285e-05	2.89403667546753e-05	1.38075543811414e-05	2.06789504050074e-05	4.19375627907569e-05	4.3904352827302e-05	1.58983270347855e-07
3.85596837226149e-05	9.8166393225767e-06	0.000229749992333112	9.45311576990326e-06	3.0040584531613e-05	3.16761755987075e-05	7.77954637444186e-05	2.14486249896157e-05	6.28377789704466e-05	3.0557024890405e-06	4.2176762556321e-05	5.77205853267105e-05	4.84230718053357e-05	5.4639282140831e-05	4.70737354724685e-05	4.49474057427296e-05	1.85716307137513e-05	2.51630521995711e-05	5.62917516350448e-05	5.69388540724508e-05	1.77922670592822e-07
6.84663432173565e-05	4.9525758585513e-05	0.000263966226567552	9.52304811947121e-05	4.52404979822361e-05	5.80340342754271e-05	0.000136616432373345	3.74410043071946e-05	6.42910528675849e-05	1.9066327957743e-05	3.70207842680089e-05	5.06294298365683e-05	4.53551853034539e-05	4.79277112262602e-05	4.40903796821781e-05	4.07861237049811e-05	1.6317412948634e-05	4.10331331692e-05	4.96152516168573e-05	4.99440993321773e-05	1.68236884171811e-07
7.27057699304001e-05	5.29704122155463e-05	0.00028833315351882	0.000106018682614384	4.70190539621068e-05	6.22485576613989e-05	0.000136640102601494	4.08709464178244e-05	6.78919864986913e-05	2.0124298111775e-05	3.95680671415873e-05	5.41868056451569e-05	4.53621497134757e-05	5.12962748990222e-05	4.40961854703099e-05	4.382264951095e-05	1.74246334592654e-05	4.59378750076873e-05	5.45052560270134e-05	5.34536855510508e-05	1.69860354114177e-07
9.29898455036889e-05	7.46282509184502e-05	0.000308686826348932	0.000139938795130061	5.32696056626695e-05	7.52095918083946e-05	0.000161726984640637	4.70915489719348e-05	7.34493612843057e-05	2.63715811363646e-05	3.82225909296193e-05	5.23606007286186e-05	4.38353649561097e-05	4.95684342943227e-05	4.26110616685823e-05	4.65853691391606e-05	1.68331038397344e-05	5.20868516403276e-05	5.26921174905103e-05	5.16525341737507e-05	1.65730749956355e-07
9.07608301466863e-05	7.24510639419952e-05	0.000297205633157317	0.000136795436422746	5.16980129090983e-05	7.31474977584029e-05	0.000156875334146673	4.60220130251565e-05	7.16450789671405e-05	2.58011612490044e-05	3.6945220536504e-05	5.06317413363949e-05	4.23810223563701e-05	4.79252008833412e-05	4.11964027641571e-05	4.53138848585362e-05	1.62738484432811e-05	5.08437169043418e-05	5.10335280982018e-05	4.99458372626042e-05	1.61807189618388e-07
8.89086308942386e-05	7.07040121997624e-05	0.000287660429086766	0.000134176951019093	5.36500514330982e-05	7.51058847278127e-05	0.000152980239411621	4.51641982084989e-05	7.0193270514812e-05	2.53529656568426e-05	3.58819605650286e-05	4.91835659210962e-05	4.1179011704734e-05	4.65626014231999e-05	4.00271222334869e-05	4.42755995471134e-05	1.58038658593605e-05	4.98627508349556e-05	4.9624373544846e-05	4.85190960857159e-05	1.58688597336276e-07
7.83632428732608e-05	6.1967238559442e-05	0.000250509115924492	0.000118674860368936	4.85420893693315e-05	6.67267554247541e-05	0.000133370192710604	3.96233558994061e-05	6.15838347894265e-05	2.21853875115149e-05	3.14275538108467e-05	4.30894992316915e-05	3.607775287929e-05	4.07938092087302e-05	3.50678360769305e-05	3.8762631311727e-05	1.38425688083453e-05	4.36415336730183e-05	4.34956728136519e-05	4.25075706994566e-05	1.40263200556818e-07
7.23362640438631e-05	5.60795046505611e-05	0.000260001853911852	0.00010778645965866	4.76496453844341e-05	6.32858589820027e-05	0.000128769486359203	3.79905175105599e-05	6.39807849997674e-05	2.03098841755344e-05	3.36286579210975e-05	4.46564510991807e-05	3.86160637532928e-05	4.36633849967458e-05	3.75342829890995e-05	4.02270661897976e-05	1.43553603837811e-05	4.25978324018257e-05	4.52425448973523e-05	4.40535665959278e-05	1.51500899545105e-07
6.4280224660027e-05	4.40584742038755e-05	0.000222637594659168	9.05984074514379e-05	4.09175306301485e-05	5.36946905678018e-05	0.000109489958239439	3.21881939371035e-05	5.80766106675703e-05	1.64321986236309e-05	3.05152190909199e-05	4.04562905721146e-05	3.61699218505398e-05	3.9600130726931e-05	3.51584286678889e-05	3.64937315804538e-05	1.30259812801402e-05	3.86622414826975e-05	4.12854642306643e-05	3.99102889192996e-05	1.47817649399529e-07
1.468958522542e-06	0	1.3105184013723e-05	1.67401729660821e-10	4.70640447143714e-06	6.48192648947386e-06	1.74488031930179e-05	2.98205305086975e-06	3.55736247221236e-06	4.85071308265686e-07	7.26792331377218e-06	8.48867485345006e-06	1.06197347145338e-05	9.36038285738729e-06	1.0329615288021e-05	1.9823168949072e-06	2.35690315962892e-06	8.38449944801589e-07	5.58530796467561e-06	8.37413152552056e-06	6.10287267317281e-08
7.17035753894901e-06	1.99283789544412e-06	3.92644268315817e-05	3.9056573394793e-06	9.97533430638113e-06	1.21307762111517e-05	3.10067922287516e-05	6.07771090942933e-06	8.29779021667131e-06	1.59852895794461e-06	1.38425485441139e-05	1.76425526541374e-05	1.91689405268282e-05	1.92088365692913e-05	1.86308780619446e-05	4.73611088980034e-06	3.59699060916768e-06	4.49313078301477e-06	1.0981298629095e-05	1.74045090040391e-05	7.64014485067504e-08
2.54975080661898e-05	1.11197768551916e-05	0.000138719140070879	2.72775472242147e-05	2.36808656441288e-05	2.52324796195076e-05	6.47874805938999e-05	1.74216592141211e-05	3.56794556443072e-05	6.05489372368359e-06	2.32769746446687e-05	3.19655504169539e-05	3.08473169411989e-05	3.01293471899066e-05	2.99856623526844e-05	2.27444368815744e-05	1.03772750081236e-05	1.55807850328998e-05	3.2077342787149e-05	3.15343232397846e-05	1.32503796524057e-07
2.53958027796152e-05	1.4827714428136e-05	0.00012677965947507	3.60288342180449e-05	2.43473269089867e-05	2.55329606329318e-05	5.71313537983899e-05	1.81243983692033e-05	3.06649196856109e-05	6.91821483575135e-06	2.43889312336248e-05	3.35409785852344e-05	2.98641930918431e-05	3.16145420922011e-05	2.90293651954693e-05	2.05164006301582e-05	1.00266887647817e-05	1.84561421182526e-05	2.97894871232161e-05	3.30885935783367e-05	1.29472857659772e-07
2.51204828656307e-05	1.06085477955131e-05	0.000101902113275636	2.31342602963536e-05	1.93593810671262e-05	2.36022476600859e-05	4.98313776492766e-05	1.48277513834426e-05	3.07063500389502e-05	4.67623078538837e-06	2.29681485220788e-05	2.78752691589172e-05	2.70703602195916e-05	2.9808804055422e-05	2.63109132170948e-05	2.05214954037698e-05	9.05609024115221e-06	1.14034430103388e-05	2.79572040492674e-05	3.119850985105e-05	1.1424578866092e-07
5.73709791494304e-05	4.12099195521649e-05	0.000231074416700187	9.85430530950589e-05	4.07152934297129e-05	4.42558520052895e-05	9.28324892758472e-05	3.23250478882646e-05	5.89948116124003e-05	1.54636707539598e-05	2.85477416428944e-05	3.94837468504619e-05	3.23712487274682e-05	3.70925336950343e-05	3.14597475392168e-05	3.65917750066915e-05	1.27509842231762e-05	4.23142771448093e-05	4.04681055103965e-05	3.88216312675536e-05	1.32642523228868e-07
7.62358180312096e-05	5.97055897468377e-05	0.000220392652429839	0.000118795435318478	4.32565801708977e-05	5.96857025047956e-05	0.000116364796894764	3.76259521075423e-05	5.92923724366163e-05	2.13928281458046e-05	2.89311191352424e-05	3.95860218268617e-05	3.25838637828524e-05	3.7234864203673e-05	3.16770211781566e-05	3.6745546302037e-05	1.28349476748283e-05	4.12782611386114e-05	4.07065305604292e-05	3.89379591590052e-05	3.48292512214467e-07
0.000126793317279899	0.000136034251043606	0.00029921950853909	0.000165951283818784	7.66414103003342e-05	0.000107738362384807	0.000182461652474672	7.28209568562859e-05	0.000106219506135409	6.34171649857332e-05	5.58670043433653e-05	6.2057113798469e-05	4.8684532363334e-05	5.79272724850612e-05	4.70544424744803e-05	7.4803829991775e-05	2.06632519415648e-05	8.96027779572237e-05	7.01766333580481e-05	6.10221703388237e-05	2.31333485816706e-06
