Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.000142352147597144	0.000156867682937748	0.000186724838098356	0.000152058570111736	0.000176329780304844	0.000270240239385083	0.000237870550950376	0.000104496885650314	0.000140968802276017	9.19243365474269e-05	6.66852608875553e-05	6.52611675162777e-05	5.25322536262022e-05	6.12028140212082e-05	5.09579185709466e-05	9.05520692849021e-05	3.16624212561421e-05	0.000102378603503691	7.95580757497313e-05	6.43978070390275e-05	7.76675204798242e-06
7.87331265314625e-05	4.36712788082774e-05	-0.000171173422394965	0.000120523771704326	3.4808325175963e-05	3.31674628605277e-05	5.93533395770605e-05	3.39946062425627e-05	6.3081227085864e-05	3.14886604283867e-05	6.01633336653549e-05	6.99360210040279e-05	6.84099758919044e-05	6.94046088097193e-05	6.72290329934086e-05	5.22042212797787e-05	2.51085215285545e-05	5.23654607890662e-05	6.36472701272353e-05	6.98025066282617e-05	5.55646333643054e-06
8.6975810552086e-05	5.05737958304214e-05	0.000465690253333236	0.000132352602237823	4.77980840256894e-05	5.55996856081744e-05	0.000103982677251348	3.90323172343992e-05	6.905559796735e-05	2.64537929925274e-05	5.60362570363865e-05	7.00358642197265e-05	6.76808518129243e-05	6.91841396452581e-05	6.63970495401618e-05	5.26929719398764e-05	2.30006291417358e-05	5.30168434186876e-05	6.43542632856308e-05	6.98189504003559e-05	1.80447287906205e-06
8.10367456072998e-05	4.55001590971921e-05	0.000426331814430937	0.000121519351978188	5.10292961796114e-05	5.85566609852735e-05	9.80544573322665e-05	3.72562599662347e-05	6.47773824951034e-05	2.49065299462176e-05	5.42090879913896e-05	6.79537429436619e-05	6.54378155090019e-05	6.70524800053465e-05	6.41778269326286e-05	4.9082374293972e-05	2.23091838720207e-05	4.98556717302045e-05	6.25761351559847e-05	6.77277403224158e-05	1.74569711030845e-06
8.40417173932033e-05	4.91241589679099e-05	0.000436132143927026	0.000123264565717839	4.98456344969088e-05	5.904872349594e-05	0.000101631586584167	3.71101453970437e-05	6.69044186384301e-05	2.47396946667846e-05	5.23943609443307e-05	6.57857134082421e-05	6.33648968102697e-05	6.49205058010148e-05	6.21431099427511e-05	5.05331420848762e-05	2.15910919352804e-05	5.12252654406963e-05	6.06027120314001e-05	6.5568469027766e-05	1.70679924732911e-06
8.24399950247024e-05	4.70623459557824e-05	0.000408358669092248	0.00011716523213311	4.71656712017264e-05	5.7351606705174e-05	9.87533361447714e-05	3.54594368542461e-05	6.33002316716301e-05	2.34001755195671e-05	5.05447838169184e-05	6.35694216182041e-05	6.12313394963021e-05	6.27337940152296e-05	6.00488803925039e-05	4.76465519755735e-05	2.08573942892679e-05	4.83535236997219e-05	5.85428034053181e-05	6.33596054939613e-05	1.6653022630527e-06
8.00499709723849e-05	4.55639172780927e-05	0.000392345789564912	0.000114203015185246	4.53980311961405e-05	5.51473577361152e-05	9.4789449083209e-05	3.4388441801079e-05	6.13808707688377e-05	2.25169006753552e-05	4.88643021640156e-05	6.15564024581262e-05	5.92934116435821e-05	6.07476217253251e-05	5.81465314200612e-05	4.60525282616659e-05	2.01904652757285e-05	4.67141410238082e-05	5.66700421711346e-05	6.13533281824244e-05	1.62819596857792e-06
7.35425626555431e-05	4.18100654348098e-05	0.000379188405768946	0.000113119572082817	4.39827665414647e-05	5.02158090390623e-05	8.52617822441379e-05	3.3610852125269e-05	5.98424771080107e-05	2.18831195682394e-05	4.71441048047298e-05	5.9484358575637e-05	5.72984749478618e-05	5.8703143815576e-05	5.61883475418224e-05	4.475865380315e-05	1.95044322953131e-05	4.53564961804095e-05	5.47436251999078e-05	5.9288206567171e-05	1.58861023544745e-06
7.72560391212279e-05	4.63054447798119e-05	0.00037759373786892	0.00011479011051799	4.64224537164797e-05	5.27379087794191e-05	9.21522460895874e-05	3.67538807724108e-05	6.53968787502855e-05	2.39309387728308e-05	4.87779789665634e-05	6.22373579529714e-05	5.80502072202284e-05	6.07537440508726e-05	5.67890407049907e-05	4.82766276125956e-05	2.0417931915652e-05	4.9518074334743e-05	5.85880372227408e-05	6.1894680705756e-05	1.66273333205252e-06
8.16877194811729e-05	4.69131625069816e-05	0.000352609874858313	0.0001204863414993	4.60979240093149e-05	5.57177356926185e-05	0.000101203037189859	3.76586963787105e-05	6.1947578975446e-05	2.41124740509579e-05	4.72891239469723e-05	6.06441441451018e-05	5.63817285781041e-05	5.9113459162832e-05	5.51399593588417e-05	4.53921036867811e-05	1.98560989915553e-05	4.66245527462188e-05	5.71450042525351e-05	6.02925688234987e-05	1.51370492231227e-06
