Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.000125285295165768	0.000137739838714199	0.000172377199144769	0.00013305122078944	0.000159709646935186	0.00023794330961428	0.000194250100259986	9.14152794700657e-05	0.000118175461746281	9.6545267782978e-05	6.16893258176792e-05	5.68696554680159e-05	4.72961752692361e-05	5.38636831480459e-05	4.59797309112898e-05	8.33260010257175e-05	2.93835222351934e-05	9.52088371444668e-05	6.91776255326359e-05	5.62715435102572e-05	6.0660318124908e-06
8.07900064071561e-05	2.7156611458987e-05	-0.000145540342521499	0.000142368315473467	2.59130630187135e-05	3.05224643528668e-05	5.64335023379334e-05	2.48908186958853e-05	5.08424638763798e-05	1.50000498587718e-05	4.45739564475869e-05	5.96867466644485e-05	5.96867466644485e-05	5.96867466644485e-05	5.87912319778529e-05	4.30129723257685e-05	1.95092927855405e-05	4.01267623797462e-05	5.08008723639601e-05	5.96867466644485e-05	0
8.21419703217436e-05	2.69021328966138e-05	0.000461270994882508	0.000139503084491564	2.51454843084706e-05	3.05115674902632e-05	5.65371459879542e-05	2.42012127954224e-05	4.93307337184553e-05	1.45504933150246e-05	4.32360118430258e-05	5.78948362371239e-05	5.78948362371239e-05	5.78948362371239e-05	5.7024940111628e-05	4.16986720903701e-05	1.89180288922902e-05	3.88944169266273e-05	4.92634789985543e-05	5.78948362371239e-05	0
8.31154253577213e-05	3.10819036645257e-05	0.000451833290035351	0.00013977665692172	2.81334237255944e-05	3.56532855840239e-05	5.83013091581877e-05	2.69171026860387e-05	5.07937804023384e-05	1.45333205118201e-05	4.30919699147222e-05	5.76953250396662e-05	5.76953250396662e-05	5.76953250396663e-05	5.68324028702651e-05	4.20731009108681e-05	1.88703458221855e-05	3.97838621439667e-05	5.01206878460517e-05	5.76953250396662e-05	0
8.32595873353082e-05	3.24126547942401e-05	0.000450127463911872	0.000140429638490112	3.63519246002035e-05	4.68582588484237e-05	7.9510341177135e-05	3.09376280767292e-05	5.31457945484935e-05	1.45790945043364e-05	4.31855117091677e-05	5.78146147952657e-05	5.78146147952657e-05	5.78146147952657e-05	5.69258525551639e-05	4.15154630264779e-05	1.88037366222113e-05	3.95549643709975e-05	5.1719507247855e-05	5.78146147952657e-05	0
4.33880372836473e-05	1.232155361406e-05	0.000311850773698978	6.46833085191438e-05	2.30702005748268e-05	2.71697048673532e-05	4.77843702499711e-05	1.9221765950528e-05	3.66407468034369e-05	6.27570084156386e-06	3.91677138469711e-05	5.07149566842465e-05	5.24353698294541e-05	5.24353698294541e-05	5.33191875274239e-05	3.22246177928901e-05	1.65472631443571e-05	2.58646507036091e-05	4.39457032593734e-05	5.07149566842465e-05	0
5.18726157410888e-06	2.63700750909485e-07	8.45386289470133e-05	4.43093281896945e-06	8.08574102749484e-06	9.87468738145869e-06	1.72469646456706e-05	4.95013252941568e-06	9.35851781104817e-06	7.13385994020882e-08	2.10618037589873e-05	2.82190213782367e-05	3.86302240943881e-05	2.81877114690701e-05	3.80121280961677e-05	8.77061556316839e-06	8.90203776599002e-06	5.43322040744355e-06	1.34764222041891e-05	2.82190213782367e-05	0
1.93402447987493e-05	3.20485794317091e-06	0.000111865393485704	1.71205790973219e-05	1.25046162951169e-05	1.49114620595639e-05	2.43062677093975e-05	9.79341729687727e-06	1.64473249323791e-05	1.92270311193718e-06	2.8830469232152e-05	3.53921032072333e-05	4.47360058829098e-05	3.85430837494057e-05	4.39922806135274e-05	2.01513975427578e-05	1.11695091983835e-05	1.0849916314764e-05	2.64995150096762e-05	3.53653457598448e-05	0
5.28430700855647e-06	0	4.93343705424379e-05	1.09051717550523e-09	8.77318551306603e-06	1.26199873462605e-05	2.12525802690432e-05	5.76322356027999e-06	5.5364051626222e-06	9.65992593270364e-08	3.30067772114761e-05	3.79941284580638e-05	5.14007858407304e-05	4.73095059024372e-05	5.05471700569243e-05	7.20506017223967e-06	1.10961567541406e-05	5.39718724517409e-06	2.03357463565397e-05	4.12013082241456e-05	0
2.3128968535443e-05	8.8493823496165e-08	0.000106261574087165	1.06622007514802e-09	1.12477993171776e-05	1.48171636198702e-05	2.0087303872781e-05	1.11999910304684e-05	2.60731076528498e-05	9.45222495139129e-08	3.79811120578675e-05	5.1443476000806e-05	4.97762737848016e-05	5.06367719874998e-05	4.89478236386241e-05	2.89552689839511e-05	1.67808289589266e-05	6.26423423734833e-06	4.73498794672e-05	5.12667318181148e-05	0
5.21159955560215e-05	1.86399812243423e-05	0.000281434875006927	8.06679825474424e-05	2.39298847352572e-05	3.02222006678419e-05	5.28707869732365e-05	2.12071163817352e-05	3.73906384494125e-05	8.87426114988132e-06	3.55772016135143e-05	4.81866717726687e-05	4.66261894653764e-05	4.74316004379222e-05	4.58484970802445e-05	2.94429731855542e-05	1.57108563287987e-05	2.66638525713655e-05	4.15095013380525e-05	4.80212428869062e-05	0
5.11106564392948e-05	1.8862130774666e-05	0.00029701011599225	9.08315011251774e-05	2.32540830792239e-05	2.83170352257203e-05	5.37737683689557e-05	2.1207689535978e-05	3.7106780038371e-05	9.90170280823741e-06	2.87924928141398e-05	3.89966935896191e-05	3.77346455950696e-05	3.83860214161928e-05	3.71096173173268e-05	2.90819222092885e-05	1.27334763934037e-05	2.69983329865526e-05	3.60672696865689e-05	3.8862903240605e-05	0
7.64962283490385e-05	3.0288846874312e-05	0.000381900497066514	0.000131412913122149	3.10891099933731e-05	4.01266620162643e-05	7.25099030951684e-05	2.8397467040902e-05	4.81293345203128e-05	1.41861014270501e-05	3.4617741284417e-05	4.6885722673475e-05	4.53693285754835e-05	4.61519734270851e-05	4.46094090855028e-05	3.61333114785462e-05	1.52722288340387e-05	3.62631575410197e-05	4.32982884283856e-05	4.67249701935471e-05	0
