Porquesa	Piga	Chaquina	Guañare	Collacagua	Batea	Sillillica Norte	Diablo Marca	Columtucsa	Sillillica	Chilin Chilin1	Chilin Chilin2	CC3	CC4	Rinconada1	Rinconada2	Rinconada3	Rinconada4	Rinconada5	CC5	Laguna
0.000127263307509675	0.000130083472373525	0.000226283603793854	0.000134754428241842	0.000171829147220282	0.00025171925286034	0.000197198028107864	9.06068736679462e-05	0.000117447769158049	0.000119419709611706	8.2816497256875e-05	6.71447409159347e-05	5.85312164642367e-05	6.42531895961447e-05	5.73960239163192e-05	0.000101398039349514	4.60066596848677e-05	0.000110114073992911	8.02228353632692e-05	6.65327040241131e-05	1.26770006978496e-05
8.24130609661697e-05	2.60523895266737e-05	-0.000145535970079906	0.00014236832562584	2.59130630187135e-05	3.13928306396684e-05	5.82223587407296e-05	2.48908186958853e-05	5.08424638763798e-05	1.50000498587718e-05	4.45739564475869e-05	5.96867466644485e-05	5.96867466644485e-05	5.96867466644485e-05	5.87912319778529e-05	4.30129723257685e-05	1.95092927855405e-05	4.01267623797462e-05	5.08008723639601e-05	5.96867466644485e-05	0
8.58241306906351e-05	3.32001887621581e-05	0.000470862846739021	0.00014234940216926	2.89872930491644e-05	3.62946856608676e-05	6.77888420806956e-05	2.80790490886687e-05	5.4570769775871e-05	1.72872577153929e-05	4.420419716691e-05	5.94656267752636e-05	5.83667345499137e-05	5.90808879735651e-05	5.74152897113917e-05	4.49898028688764e-05	1.94616937230764e-05	4.38570333749214e-05	5.15926771869955e-05	5.93596154009729e-05	0
8.93955612202091e-05	4.04739397874168e-05	0.00047319021352188	0.000142853207943525	3.74555143376419e-05	4.69115448001444e-05	9.45026323983454e-05	3.48992596764792e-05	6.41534066506117e-05	2.17240165913589e-05	4.58269173445502e-05	6.24093431713812e-05	5.8124675579963e-05	6.08942859423321e-05	5.69709820676017e-05	5.08327608395287e-05	2.04540149142942e-05	5.17808309143198e-05	5.64627403992792e-05	6.20509729821897e-05	0
6.71644506583535e-05	2.67096858102433e-05	0.000417467098279566	0.000121461096941161	3.27279401273494e-05	3.40408217889504e-05	8.38737368282471e-05	3.06307708454391e-05	5.71586033644285e-05	1.87037324038388e-05	4.1930175421778e-05	5.71533119006681e-05	5.65907737183002e-05	5.5688849186694e-05	5.54453980114409e-05	4.54372932674174e-05	1.87787038091058e-05	4.62828238338369e-05	5.02170686997529e-05	5.68093198344764e-05	0
3.88268571746847e-05	1.03601552584005e-05	0.000275414049001548	5.15254280330566e-05	1.62478385331288e-05	1.54063666921669e-05	4.14353798283354e-05	1.58651407251881e-05	4.43904937866645e-05	7.91612795988141e-06	3.66866523370447e-05	4.8180229738554e-05	4.79559662340534e-05	4.87255319281697e-05	4.69907415208926e-05	3.55764309344449e-05	1.58580711845969e-05	2.63951144520342e-05	4.2253791635981e-05	4.78903738947932e-05	0
4.7562493112866e-06	3.80972286090886e-07	5.18916819661385e-05	9.25411883704742e-06	3.76869525044969e-06	1.29421392721051e-06	9.14959532086872e-06	4.36799533264918e-06	6.66579068236257e-06	7.96036611864234e-07	1.6503737671967e-05	1.8784402616827e-05	3.27839428984273e-05	2.19141446095128e-05	3.21321265120254e-05	8.28928284685158e-06	5.31799948221456e-06	5.69512159256896e-06	1.26047849484937e-05	2.05264883203877e-05	0
1.14317256158555e-06	1.71559613177029e-07	2.56902075938242e-05	4.43652934215983e-06	1.64606078492401e-06	4.06145448047692e-07	6.05229579509791e-06	2.03026725315553e-06	2.255473243398e-06	7.53171516545777e-07	6.78502757146754e-06	3.68344182015743e-06	1.68555776076524e-05	8.99727503084932e-06	1.816421228302e-05	2.73835186918046e-06	1.61726295476491e-06	2.70365200089091e-06	4.02684921587644e-06	3.65579932203509e-06	0
1.51710706422734e-05	2.87798042108783e-06	9.30980789141091e-05	8.82272957908095e-06	6.74495401639581e-06	4.6570672201868e-06	1.70685688811278e-05	5.94503089558094e-06	1.9009238787155e-05	1.56714031023134e-06	2.56157710572669e-05	3.34013064872015e-05	3.80836608657825e-05	3.39734083662094e-05	3.72330321835078e-05	1.71713927449157e-05	1.11165451830573e-05	9.34202109087103e-06	2.76806982434716e-05	3.31382195937577e-05	0
3.22902934294759e-05	7.26343249132556e-06	0.000214690654627414	2.72724322985056e-05	1.21441535887398e-05	9.94933062537245e-06	2.89720779076512e-05	1.11715154863925e-05	3.58574735989467e-05	3.96792295058471e-06	3.40109015668203e-05	4.31405715801632e-05	4.49675233476348e-05	4.51106378831792e-05	4.5567465016346e-05	3.28204316828796e-05	1.43170635118235e-05	2.13261431721685e-05	3.67100371859445e-05	4.28008999389735e-05	0
6.61826499547121e-05	2.71129821099593e-05	0.000386153868179878	0.00011309136591897	3.2204840660025e-05	3.42421910229612e-05	7.9020572717101e-05	3.1288107095949e-05	5.72642676667555e-05	1.72254180455213e-05	4.08856060950071e-05	5.64339301577015e-05	5.00017647505232e-05	5.42311459187896e-05	4.88099957450677e-05	4.64496422846734e-05	1.8423178563456e-05	4.79064871960684e-05	5.19703852829525e-05	5.59897950190654e-05	0
7.34819015427057e-05	3.37998570348586e-05	0.000400236953565669	0.00011336423564317	3.27404550321689e-05	3.91433748313165e-05	8.36736805395724e-05	3.21477237643247e-05	6.1060211026788e-05	1.92204973937742e-05	4.07021676737565e-05	5.61291052910059e-05	4.99147226961062e-05	5.40009936193288e-05	4.87383549957357e-05	4.74865781909436e-05	1.83207258843598e-05	4.75277894545215e-05	5.19084174974325e-05	5.57000277141779e-05	0
7.21926890953801e-05	3.59528207016671e-05	0.000398946327104528	0.000128054640822848	3.5573865569719e-05	4.1244409257015e-05	9.8946216308818e-05	3.74115980879352e-05	6.36525519022703e-05	1.99310545478308e-05	4.10194388871741e-05	5.64924829369513e-05	5.05073783945951e-05	5.44429729519443e-05	4.93183970264611e-05	4.70281100127854e-05	1.83549477300823e-05	4.83133640510236e-05	5.29170812900046e-05	5.60792669600788e-05	0
8.84371876094849e-05	4.91425243090326e-05	0.000400948494433207	0.00014288640304118	3.85107970510806e-05	5.28871947697455e-05	0.00012209904602889	4.16766637490227e-05	6.47187877337465e-05	2.36251085274621e-05	4.15379333432661e-05	5.71274718401449e-05	5.13613557396405e-05	5.51530311837204e-05	5.01844838881347e-05	4.78139818141306e-05	1.86068622958793e-05	5.22242145816396e-05	5.40984089509559e-05	5.67294081565016e-05	0
9.51458679909266e-05	5.6377829432733e-05	0.000416237169482621	0.000148829446872002	4.83006303129212e-05	6.81159413523431e-05	0.000148253964066852	4.7843100309675e-05	7.18783559325282e-05	2.43009915879362e-05	4.40806652803e-05	6.04752085362997e-05	5.49105102201257e-05	5.8569822223126e-05	5.36487195198514e-05	4.92964304321241e-05	1.95021153566886e-05	5.32695649401065e-05	5.84379530604239e-05	6.0091124163346e-05	0
9.6282910708991e-05	5.87190682028521e-05	0.000407642950280307	0.000149642478418381	5.03581655269855e-05	7.05242739300191e-05	0.000164951156230556	4.9897613140171e-05	7.48565905025199e-05	2.52822865453142e-05	4.45454283006011e-05	6.14079503127016e-05	5.46495356989272e-05	5.90694362691967e-05	5.33118724690026e-05	5.07046909422906e-05	1.98309264611872e-05	5.46846257157918e-05	6.03785541038996e-05	6.09246763568768e-05	3.58136459556502e-21
5.82014944609952e-05	3.02225919876479e-05	0.000286366920858189	8.23143043888244e-05	3.37672808046458e-05	4.54781251127538e-05	0.000123711494678836	3.55455437785354e-05	5.51210237039465e-05	1.45913991112297e-05	4.32494720174746e-05	5.78898959917907e-05	5.24722342226231e-05	5.72722038365563e-05	5.11199745976338e-05	3.9459912597386e-05	1.871695050346e-05	3.74664711170545e-05	5.60578029738678e-05	5.73646076707779e-05	0
3.11481233546732e-05	1.23265378310571e-05	0.000196481036115682	4.18712782939556e-05	2.24499766917126e-05	2.73253393256802e-05	8.88479348499987e-05	2.39070213297507e-05	3.6871826137966e-05	5.8551776966091e-06	3.39096414315008e-05	4.33126207656448e-05	4.75905024831486e-05	4.48907754443795e-05	4.63700847008397e-05	2.69709763679839e-05	1.41441947602854e-05	2.06811900155326e-05	4.28551259903382e-05	4.29056814407996e-05	0
1.49365804894141e-06	0	2.54251552939415e-05	2.848504878651e-10	3.09785259177024e-06	5.14022288778037e-06	2.71416564776761e-05	4.04366272810358e-06	4.05061382589616e-06	2.79030552658059e-08	6.90481003102682e-06	9.60285199884296e-06	1.66195011231984e-05	9.13411538398073e-06	1.94181472780919e-05	2.60711703645677e-06	2.68992377748392e-06	7.92021012996129e-07	7.82096654015666e-06	9.50912136827482e-06	0
1.48289910697708e-06	0	3.50421780611853e-05	3.82660590176038e-10	3.91885632174629e-06	5.19803491048675e-06	2.90832493285282e-05	4.24049888805565e-06	4.08551718047772e-06	3.749841333469e-08	9.30251284929929e-06	1.10952190203619e-05	2.22605623378421e-05	1.23059935151156e-05	2.1635165654954e-05	2.58499936422137e-06	3.14988713881099e-06	1.13364266528202e-06	9.05810397962217e-06	1.09869288000026e-05	0
1.3027216433241e-06	0	1.25364517885755e-05	1.35664259720996e-10	1.31260425465249e-06	2.2594461185158e-06	1.24541558857774e-05	1.92847036001354e-06	9.18998033434304e-07	1.32987741367569e-08	3.96655716444857e-06	5.52383110037494e-06	7.87244890073168e-06	5.24838581195071e-06	9.18468377613883e-06	1.97751409966084e-06	1.87378479686922e-06	4.66720094242507e-07	4.61129151554815e-06	5.46992095117805e-06	0
2.01218239814858e-05	7.71367588547957e-06	0.000142854913470934	2.86545407301346e-05	1.6136644679913e-05	1.71403751149848e-05	5.69367364503232e-05	1.66473652244199e-05	2.70464575626522e-05	5.28521380325542e-06	2.56773577516869e-05	3.57710754634638e-05	3.37373389913414e-05	3.39876437825534e-05	3.27603123429502e-05	2.36083771283297e-05	1.1040303005353e-05	1.74287780954848e-05	3.15619443971909e-05	3.54220106005607e-05	0
